Japanese,English
人,Man
一,one
見,look
出,Out
来,Coming
大,Big
子,Child
日,Day
思,Thinking
分,Part
中,During ~
上,Up
何,what
時,Time
私,I
事,case
二,two
行,line
彼,he
自,Selfishness
間,while
方,direction
手,hand
生,Living
言,Word
気,air
女,woman
三,three
者,person
十,Ten
家,House
前,Before
心,heart
下,under
今,now
云,Because
本,Book
年,Year
物,thing
立,Standing
知,Knowledge
小,small
的,Intended
入,Entering
山,Mountain
後,rear
目,eye
持,Holding
合,Agency
屋,Shop
学,Learning
居,Residence
無,Nothing
地,Land
御,You
五,Five
様,Mr.
話,Story
度,Every time
意,Intention
同,same
不,Unprecedented
郎,Gross
明,Clearing
身,Body
所,Place
先,Precedence
書,book
聞,Hearing
実,fruit
少,Few
長,Long
通,Passage
然,But
文,Sentence
君,you
月,Month
四,four
代,Substitute
顔,face
面,surface
世,world
口,mouth
感,Feeling
場,Place
主,main
男,Man
外,Outside
理,Reason
道,road
名,given name
考,Thinking
当,This
取,Take
部,Department
白,White
作,Work
国,Country
会,Meeting
神,God
田,Rice field
次,Next
風,Wind
向,Direction
相,phase
夜,night
動,Movement
内,Inside
八,Eight
水,water
声,voice
平,flat
眼,eye
金,Money
新,new
体,body
力,Power
味,taste
木,wood
多,Many
死,death
足,feet
近,Close
切,Row
僕,I
高,High
色,color
葉,leaf
以,So
頭,Head
用,for
現,Present
母,mother
夫,husband
親,parent
全,all
天,Heaven
父,father
引,Pulling out
得,Benefit
六,Six
帰,Returning
真,true
笑,lol
美,Beauty
音,sound
其,It
野,field
太,Slim
対,versus
馬,Horse
歩,Step
信,Religion
落,Dropping
食,Food
最,Best
仕,Session
情,Feeling
川,river
正,Positive
七,Seven
達,Daiser
空,Sky
性,sex
変,strange
等,etc
此,This
有,Existence
直,straight
問,Question
着,Wearing
法,Law
光,light
悪,evil
教,Teaching
第,First
込,Incorporation
吉,Goodbye
門,gate
好,Good
若,Youth
重,Heavy
村,village
別,another
我,I
語,word
違,Difference
論,Argument
結,Conclusion
起,Rising
発,Departure
士,Man
車,car
原,original
流,Style
活,Life
説,Theory
花,flower
戸,door
石,stone
置,Place
返,Return
助,Help
形,shape
他,other
命,life
成,Creation
義,Righteousness
想,Thoughts
早,Early
古,Old
愛,Love
朝,morning
町,town
処,place
解,Solution
常,Always
関,Relation
土,soil
如,Like
兵,Soldier
海,Ocean
要,Key
申,Request
誰,Who
過,Excess
百,hundred
九,Nine
初,first time
頃,Time
半,half
飛,Flying
苦,Distress
氏,Mr.
火,fire
之,this
東,east
安,Cheap
数,number
化,Change
定,Establishment
青,Blue
供,Service
社,Shrine
待,Waiting
老,Old
民,people
開,Open
在,Existence
記,Record
又,or
深,Deep
病,disease
草,grass
表,table
付,Attached
決,Decision
紙,paper
來,Coming
張,Tension
呼,Call
遠,Distant
強,strength
楽,easy
打,Hitting
千,thousand
利,Interest
姿,figure
必,Inevitable
殺,Murder
左,left
始,Beginning
根,root
機,Machine
覚,Awareness
使,Use
右,right
余,Extra
調,Tune
京,Kyoto
黒,black
可,Possible
由,Reason
連,Communicating
種,seed
恐,Fear
念,Sense
急,Sudden
突,Thrust
題,Title
室,Room
娘,daughter
師,Teacher
歌,song
戦,War
受,Receiving
島,island
座,seat
松,Pine
公,public
読,Reading
船,ship
残,Remaining
品,Item
番,Rank
進,Proceeding
存,Existence
寄,Confrontation
元,Origin
経,Sutra
両,Both
程,Moderately
赤,red
界,World
業,Business
術,Art
衛,Guard
和,sum
運,luck
西,West
果,Fruit
治,Cure
伝,Legend
議,Controversy
非,Unlucky
観,View
集,collection
細,Fine
横,beside
寝,Sleep
反,Anti
武,Madness
軍,army
井,well
判,Judgment
万,Ten thousand
点,point
酒,Liquor
良,good
失,Losing
友,friend
難,Difficulty
雪,snow
例,example
共,Both
暗,Darkness
質,quality
路,Road
去,Leaving
加,Addition
婦,Woman
支,Support
或,Some
政,Government
能,Ability
振,Shake
首,neck
乗,Boarding
電,Electricity
役,Role
識,Knowledge
客,Customer
勢,Venue
息,breath
指,finger
兄,older brother
茶,tea
特,Special
王,king
台,Stand
止,Stopping
位,Position
望,Desire
配,Arrangement
際,edge
字,Character
貴,You
終,End
底,bottom
故,late
階,Floors
江,Bay
勝,Victory
春,spring
掛,Hanging
幸,Happiness
渡,Traveling
奥,Deep
雨,rain
画,Painting
追,Pursuit
影,Shadow
段,Steps
芸,Art
角,corner
俺,I
片,Fragment
答,Answer
態,State
極,very
消,Extinguishing
住,Residence
絶,Exhaustive
胸,chest
守,Guarding
敷,Laid out
離,Separation
庭,garden
皆,all
校,school
夢,dream
店,shop
類,Kind
寺,temple
都,Capital
驚,Surprise
工,Work
妻,wife
素,Raw
幾,A lot
悲,Sadness
折,Occasionally
続,Continuation
断,Refusal
限,Limit
越,Crossing
廻,Speech
精,Fondness
計,Meter
造,Construction
頼,Reliance
那,Ash
側,~ side
谷,valley
広,Widespread
背,Back
容,Content
押,Pressing
遊,Play
城,castle
北,North
放,Relief
為,In addition
与,Giving
走,Run
静,Sincerity
宿,inn
於,in
忘,Forgetfulness
鳴,Sound
蔵,Warehouse
降,Downhill
妙,Unusual
逃,Escape
旅,Journey
晩,night
血,blood
奴,guy
藤,Wisteria
舞,dance
異,Different
泣,Crying
氣,Ki
怪,Mystery
送,Sending
史,History
浮,Floating
久,For a long time
服,clothes
格,Case
熱,heat
売,Selling
似,Similarity
耳,ear
従,Obedience
件,subject
市,city
係,Clerk
交,Intercourse
働,Work
買,Buying
科,Department
殿,Palace
談,Conversation
洋,Western
諸,various
窓,window
曲,song
至,Consequences
清,Clearing
産,Birth
腹,stomach
象,elephant
参,three
将,General
夕,evening
確,Certain
組,set
官,Government
鳥,bird
喜,Joy
南,South
林,Forest
縁,edge
宮,Palace
裏,back
河,river
許,Permission
線,line
昔,long ago
注,note
刻,Stimulus
独,German
橋,bridge
満,Full
状,Shape
詩,Poetry
仰,Hollow
料,Fee
期,Period
吹,Blowing
徳,Virtue
探,Exploring
困,Trouble
暮,Living
雲,cloud
弟,younger brother
派,Faction
円,circle
博,Expo
肉,meat
端,end
式,formula
並,common
抜,Sketch
秋,autumn
具,Ingredients
毎,every
像,image
波,wave
興,Excitement
更,Further
雑,rough
案,Proposal
附,Attached
緒,Cord
沢,Swamp
黙,Silent
及,Aspect
飲,Drinking
院,Hospital
抱,Embrace
冷,cold
丸,Circle
疑,Doubt
差,difference
己,Selfishness
句,clause
薄,Thinness
末,End
族,Tribe
察,Perception
単,single
途,On the way
里,Village
構,Lingering
隠,Hidden
痛,Pain
保,Maintaining
敵,enemy
求,Request
景,View
告,Announcement
米,Rice
破,Broken
辺,Side
志,Aspirations
腰,Hip
散,Scattering
玉,ball
巻,roll
往,Going and going
示,Indication
伊,Idle
負,negative
図,figure
房,Bunch
堂,Temple
究,Research
候,Weather
煙,smoke
宗,Sect
建,Construction
争,Dispute
歳,age
岸,shore
労,Labor
改,Alteration
昨,last
福,Fortune
介,Pastry
警,Police
軽,Light
丁,Donation
銀,Silver
員,Member
訳,reason
団,Group
願,Request
衣,Clothing
医,Doctor
毛,hair
刀,sword
比,ratio
礼,Gratitude
応,Response
快,Pleasure
鹿,deer
尾,tail
衆,People
器,vessel
認,Recognition
回,times
評,Reputation
絵,picture
証,proof
投,Throwing
研,Institution
微,Frank
佐,Sauce
仲,Friendship
仏,Buddha
叫,Shouting
羽,wing
転,Conversion
留,Resident
未,Not
罪,sin
貰,Acquired
劇,Play
奇,Bizarre
眺,View
恋,love
退,Retreating
歴,History
約,about
源,source
吾,I
矢,arrow
床,floor
骨,Bone
優,Superior
密,Dense
商,quotient
弱,weak
視,Vision
州,state
腕,arm
予,Proportion
節,section
富,wealth
験,Trial
致,Wise
眠,Sleep
丈,height
夏,summer
報,Report
坊,Monk
髪,hair
再,Re -
給,Salary
嫌,Disgusting
樣,So
板,Board
倒,Defeat
是,All
坐,Sitting
永,Forever
筆,Brush
登,Climbing
写,Copy
戻,Return
